Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,182,0,Some Random Commen with Id 0
1,0,3,96,8,Some Random Commen with Id 1
2,0,3,52,9,Some Random Commen with Id 2
3,0,3,64,5,Some Random Commen with Id 3
4,0,3,124,1,Some Random Commen with Id 4
5,0,3,111,6,Some Random Commen with Id 5
6,0,3,102,0,Some Random Commen with Id 6
7,0,3,76,3,Some Random Commen with Id 7
8,1,5,150,8,Some Random Commen with Id 8
9,1,5,180,1,Some Random Commen with Id 9
10,1,5,111,9,Some Random Commen with Id 10
11,2,4,75,7,Some Random Commen with Id 11
12,2,4,17,3,Some Random Commen with Id 12
13,2,4,121,2,Some Random Commen with Id 13
14,2,4,10,0,Some Random Commen with Id 14
15,2,4,128,1,Some Random Commen with Id 15
16,2,4,16,5,Some Random Commen with Id 16
17,2,4,109,4,Some Random Commen with Id 17
18,2,4,191,8,Some Random Commen with Id 18
19,2,4,192,0,Some Random Commen with Id 19
20,4,1,125,9,Some Random Commen with Id 20
21,4,1,122,8,Some Random Commen with Id 21
22,4,1,110,8,Some Random Commen with Id 22
23,4,1,94,4,Some Random Commen with Id 23
24,4,1,55,2,Some Random Commen with Id 24
25,4,1,197,5,Some Random Commen with Id 25
26,4,1,177,6,Some Random Commen with Id 26
27,5,4,96,4,Some Random Commen with Id 27
28,5,4,82,9,Some Random Commen with Id 28
29,5,4,122,9,Some Random Commen with Id 29
30,6,2,44,1,Some Random Commen with Id 30
31,6,2,61,1,Some Random Commen with Id 31
32,6,2,127,8,Some Random Commen with Id 32
33,7,4,162,4,Some Random Commen with Id 33
34,7,4,172,7,Some Random Commen with Id 34
35,7,4,41,2,Some Random Commen with Id 35
36,7,4,130,8,Some Random Commen with Id 36
37,7,4,91,5,Some Random Commen with Id 37
38,7,4,173,7,Some Random Commen with Id 38
39,7,4,74,8,Some Random Commen with Id 39
40,7,4,153,5,Some Random Commen with Id 40
41,7,4,4,4,Some Random Commen with Id 41
42,8,8,102,6,Some Random Commen with Id 42
43,10,9,58,0,Some Random Commen with Id 43
44,10,9,178,5,Some Random Commen with Id 44
45,10,9,62,8,Some Random Commen with Id 45
46,13,6,72,8,Some Random Commen with Id 46
47,13,6,0,6,Some Random Commen with Id 47
48,13,6,48,5,Some Random Commen with Id 48
49,13,6,177,3,Some Random Commen with Id 49
50,13,6,131,3,Some Random Commen with Id 50
51,13,6,25,6,Some Random Commen with Id 51
52,13,6,88,1,Some Random Commen with Id 52
53,13,6,40,0,Some Random Commen with Id 53
54,13,6,2,6,Some Random Commen with Id 54
55,14,2,83,5,Some Random Commen with Id 55
56,14,2,13,8,Some Random Commen with Id 56
57,14,2,179,8,Some Random Commen with Id 57
58,14,2,142,5,Some Random Commen with Id 58
59,15,8,47,3,Some Random Commen with Id 59
60,16,9,42,0,Some Random Commen with Id 60
61,16,9,104,7,Some Random Commen with Id 61
62,16,9,96,7,Some Random Commen with Id 62
63,16,9,83,3,Some Random Commen with Id 63
64,16,9,92,9,Some Random Commen with Id 64
65,16,9,84,8,Some Random Commen with Id 65
66,17,5,70,1,Some Random Commen with Id 66
67,17,5,187,0,Some Random Commen with Id 67
68,17,5,100,0,Some Random Commen with Id 68
69,17,5,35,5,Some Random Commen with Id 69
70,17,5,176,9,Some Random Commen with Id 70
71,17,5,101,4,Some Random Commen with Id 71
72,18,6,83,1,Some Random Commen with Id 72
73,18,6,96,7,Some Random Commen with Id 73
74,18,6,124,9,Some Random Commen with Id 74
75,18,6,115,5,Some Random Commen with Id 75
76,19,6,94,7,Some Random Commen with Id 76
77,19,6,137,5,Some Random Commen with Id 77
78,19,6,10,0,Some Random Commen with Id 78
79,19,6,136,8,Some Random Commen with Id 79
80,19,6,77,5,Some Random Commen with Id 80
81,19,6,3,7,Some Random Commen with Id 81
82,20,5,120,7,Some Random Commen with Id 82
83,20,5,57,1,Some Random Commen with Id 83
84,20,5,97,4,Some Random Commen with Id 84
85,20,5,116,8,Some Random Commen with Id 85
86,20,5,158,6,Some Random Commen with Id 86
87,21,4,147,0,Some Random Commen with Id 87
88,22,9,132,2,Some Random Commen with Id 88
89,22,9,143,7,Some Random Commen with Id 89
90,24,2,13,9,Some Random Commen with Id 90
91,24,2,188,6,Some Random Commen with Id 91
92,24,2,82,0,Some Random Commen with Id 92
93,24,2,174,2,Some Random Commen with Id 93
94,24,2,65,1,Some Random Commen with Id 94
95,24,2,116,8,Some Random Commen with Id 95
96,24,2,188,1,Some Random Commen with Id 96
97,25,5,198,8,Some Random Commen with Id 97
98,25,5,86,4,Some Random Commen with Id 98
99,25,5,11,1,Some Random Commen with Id 99
